J.J. Hickson,206,109
Ersan Ilyasova,208,106
Justin Anderson,198,103
Rakeem Christmas,206,113
Shayne Whittington,211,113
Paul Pierce,201,106
Jose Calderon,190,90
Anthony Tolliver,203,108
Terrence Jones,206,114
Emmanuel Mudiay,196,90
Salah Mejri,216,111
Ronnie Price,188,86
Delon Wright,196,83
Festus Ezeli,211,115
Jordan Farmar,188,81
John Wall,193,88
Nate Robinson,175,81
Tony Wroten,198,92
Ty Lawson,180,88
Harrison Barnes,203,95
Al Horford,208,111
Derrick Rose,190,86
Montrezl Harrell,203,108
Chuck Hayes,198,108
O.J. Mayo,196,95
Jrue Holiday,193,92
Richaun Holmes,208,111
Elijah Millsap,198,102
Nick Young,201,95
Lou Williams,185,79
Luke Babbitt,206,102
Jarrett Jack,190,90
Jared Cunningham,193,88
Udonis Haslem,203,106
Courtney Lee,196,90
Donatas Motiejunas,213,100
Reggie Bullock,201,92
Alan Anderson,198,99
Spencer Dinwiddie,198,90
Chase Budinger,201,94
Josh Huestis,201,104
Evan Turner,201,99
Jahlil Okafor,211,124
Lorenzo Brown,196,85
Ed Davis,208,108
