Word,Count,Social_Media
data,12,Facebook
dated,4,Facebook
dating,4,Facebook
daughter,11,Facebook
davis,4,Facebook
day,69,Facebook
days,13,Facebook
dc,4,Facebook
dead,19,Facebook
deadmeanwhile,4,Facebook
deal,15,Facebook
dealing,11,Facebook
dealt,8,Facebook
dear,8,Facebook
death,13,Facebook
debate,15,Facebook
debates,4,Facebook
debriefing,4,Facebook
debt,36,Facebook
decades,12,Facebook
decency,17,Facebook
decent,7,Facebook
decide,8,Facebook
decisions,8,Facebook
declared,4,Facebook
dedication,4,Facebook
deep,4,Facebook
defend,12,Facebook
defending,18,Facebook
defense,7,Facebook
defenseless,3,Facebook
define,3,Facebook
defined,11,Facebook
defines,3,Facebook
definitely,8,Facebook
definition,18,Facebook
deflect,4,Facebook
deflecting,8,Facebook
deflector,4,Facebook
deflects,4,Facebook
degrade,3,Facebook
degraded,4,Facebook
degrading,6,Facebook
deliberately,3,Facebook
delusional,6,Facebook
dem,12,Facebook
demand,12,Facebook
demean,3,Facebook
demeanor,3,Facebook
dementia,4,Facebook
demigod,3,Facebook
demo,3,Facebook
democracy,4,Facebook
democrat,28,Facebook
democratic,24,Facebook
democrats,63,Facebook
demographic,3,Facebook
demonize,3,Facebook
demonized,3,Facebook
demonstrating,3,Facebook
dems,24,Facebook
denigrating,3,Facebook
denise,4,Facebook
department,4,Facebook
departments,3,Facebook
depend,4,Facebook
depending,4,Facebook
deplorable,4,Facebook
deplorables,4,Facebook
depression,4,Facebook
depths,4,Facebook
deputy,7,Facebook
derives,4,Facebook
derogatory,4,Facebook
describe,6,Facebook
described,4,Facebook
describes,4,Facebook
describing,8,Facebook
deserve,12,Facebook
designed,4,Facebook
desire,8,Facebook
desired,3,Facebook
desires,4,Facebook
despicable,7,Facebook
despise,4,Facebook
despite,12,Facebook
destroy,7,Facebook
destruction,8,Facebook
destructive,3,Facebook
detect,3,Facebook
deteriorating,3,Facebook
determination,4,Facebook
devalue,4,Facebook
devalued,8,Facebook
deviant,3,Facebook
di,4,Facebook
dice,3,Facebook
dick,4,Facebook
dicks,8,Facebook
dictate,4,Facebook
dictator,4,Facebook
dictionary,8,Facebook
die,8,Facebook
died,4,Facebook
diego,4,Facebook
difference,23,Facebook
differences,11,Facebook
different,27,Facebook
differing,4,Facebook
differs,4,Facebook
difficult,11,Facebook
dig,4,Facebook
dignity,3,Facebook
dike,24,Facebook
dinosaur,3,Facebook
diplomatic,7,Facebook
directed,8,Facebook
directing,4,Facebook
directions,4,Facebook
dirtbag,4,Facebook
dirty,8,Facebook
disagree,12,Facebook
disagrees,11,Facebook
disaster,8,Facebook
disciplined,3,Facebook
discourse,4,Facebook
discriminating,3,Facebook
discussing,4,Facebook
discussion,7,Facebook
discussions,4,Facebook
disease,4,Facebook
disgusting,32,Facebook
dislikeever,4,Facebook
dismantles,4,Facebook
dismiss,4,Facebook
display,3,Facebook
displease,4,Facebook
dispute,4,Facebook
disputed,4,Facebook
disregard,4,Facebook
disrespect,4,Facebook
disrespectful,11,Facebook
dissenting,8,Facebook
distance,4,Facebook
district,4,Facebook
disturbing,7,Facebook
divide,4,Facebook
division,3,Facebook
divisiveness,7,Facebook
dmv,28,Facebook
dna,4,Facebook
dnc,4,Facebook
doc,4,Facebook
doctrine,4,Facebook
documentary,4,Facebook
dog,8,Facebook
dollar,4,Facebook
dollars,17,Facebook
dolphin,4,Facebook
dolphins,4,Facebook
dominance,3,Facebook
dominant,4,Facebook
domination,6,Facebook
don,4,Facebook
donald,42,Facebook
donate,12,Facebook
donation,4,Facebook
doncha,4,Facebook
done,57,Facebook
donesilence,4,Facebook
dont,10,Facebook
doomed,4,Facebook
door,4,Facebook
doored,12,Facebook
dose,4,Facebook
double,11,Facebook
doublebutthole,4,Facebook
doubt,4,Facebook
douchebag,4,Facebook
doug,8,Facebook
dozen,4,Facebook
draftdodger,4,Facebook
drag,7,Facebook
dragged,4,Facebook
drain,3,Facebook
drama,4,Facebook
draper,3,Facebook
draw,7,Facebook
dream,12,Facebook
dreams,3,Facebook
dress,4,Facebook
dressing,4,Facebook
drew,4,Facebook
drinking,16,Facebook
drive,7,Facebook
driven,4,Facebook
driving,11,Facebook
dropper,3,Facebook
drops,4,Facebook
drug,4,Facebook
drugs,4,Facebook
drunk,21,Facebook
dude,11,Facebook
due,31,Facebook
duh,4,Facebook
dumbasses,3,Facebook
dump,3,Facebook
dying,4,Facebook
earlier,8,Facebook
early,4,Facebook
earn,11,Facebook
earners,4,Facebook
earning,3,Facebook
earth,4,Facebook
ease,9,Facebook
easier,8,Facebook
east,4,Facebook
easy,11,Facebook
eat,11,Facebook
economics,4,Facebook
economy,51,Facebook
eddy,4,Facebook
edge,7,Facebook
edges,3,Facebook
educated,8,Facebook
education,14,Facebook
educator,4,Facebook
effect,7,Facebook
effected,3,Facebook
effectively,4,Facebook
effects,3,Facebook
effeminate,13,Facebook
efficient,4,Facebook
effin,4,Facebook
effort,8,Facebook
eg,3,Facebook
ego,16,Facebook
egocentric,3,Facebook
egotistical,11,Facebook
egregious,3,Facebook
eh,4,Facebook
eight,14,Facebook
either,55,Facebook
elderly,8,Facebook
elect,14,Facebook
elected,22,Facebook
election,43,Facebook
elections,4,Facebook
electoral,15,Facebook
electricity,4,Facebook
else,38,Facebook
elses,7,Facebook
emaciated,4,Facebook
emails,8,Facebook
emasculated,4,Facebook
embankment,4,Facebook
embarrassed,7,Facebook
embodiment,3,Facebook
embrace,4,Facebook
embraces,4,Facebook
emotional,7,Facebook
emotionally,11,Facebook
empowerment,3,Facebook
empty,7,Facebook
emulate,4,Facebook
enasculate,3,Facebook
encampment,4,Facebook
encampments,20,Facebook
encourage,6,Facebook
encyclopedia,3,Facebook
ended,3,Facebook
ending,3,Facebook
endless,12,Facebook
endorse,4,Facebook
energy,4,Facebook
enforcement,7,Facebook
engages,4,Facebook
english,4,Facebook
enjoy,24,Facebook
enjoyed,3,Facebook
enjoying,4,Facebook
enough,30,Facebook
ensuring,4,Facebook
entertainment,4,Facebook
entire,12,Facebook
environment,12,Facebook
epidemic,4,Facebook
equality,24,Facebook
equally,4,Facebook
equals,8,Facebook
equation,4,Facebook
equivalent,4,Facebook
eradicated,3,Facebook
erika,4,Facebook
erin,4,Facebook
erley,4,Facebook
escalate,4,Facebook
especially,11,Facebook
essential,3,Facebook
etc,26,Facebook
even,146,Facebook
event,6,Facebook
eventual,4,Facebook
eventually,3,Facebook
ever,50,Facebook
every,60,Facebook
everybody,8,Facebook
everyday,6,Facebook
everyone,78,Facebook
everything,24,Facebook
everytime,4,Facebook
everywhere,8,Facebook
evidence,14,Facebook
evident,3,Facebook
evil,12,Facebook
evolved,3,Facebook
evolving,4,Facebook
ex,4,Facebook
exact,15,Facebook
exactly,53,Facebook
example,32,Facebook
examplelike,3,Facebook
examples,7,Facebook
exceeds,4,Facebook
excellent,10,Facebook
except,8,Facebook
exceptional,3,Facebook
exceptionalism,4,Facebook
excited,4,Facebook
excuse,15,Facebook
executive,7,Facebook
exemplifies,3,Facebook
exist,7,Facebook
existing,4,Facebook
exists,7,Facebook
exit,4,Facebook
exmistresscurrent,4,Facebook
expect,11,Facebook
expected,8,Facebook
expenses,8,Facebook
expensive,8,Facebook
experience,12,Facebook
experiences,7,Facebook
experiencing,4,Facebook
explain,12,Facebook
exposed,3,Facebook
exposes,4,Facebook
exposing,3,Facebook
express,12,Facebook
expressed,3,Facebook
exs,4,Facebook
extends,4,Facebook
extra,16,Facebook
extremist,4,Facebook
exuded,4,Facebook
eyes,12,Facebook
f,4,Facebook
face,14,Facebook
facebook,16,Facebook
facial,3,Facebook
facing,4,Facebook
fact,49,Facebook
facts,45,Facebook
factstrange,4,Facebook
failed,4,Facebook
failing,28,Facebook
failure,15,Facebook
fair,4,Facebook
fake,23,Facebook
fall,8,Facebook
fallen,3,Facebook
fallout,3,Facebook
falls,8,Facebook
false,15,Facebook
falsenever,4,Facebook
familiar,3,Facebook
familiarity,4,Facebook
families,27,Facebook
family,28,Facebook
familys,7,Facebook
famous,8,Facebook
fanning,3,Facebook
fantasy,3,Facebook
far,49,Facebook
fars,4,Facebook
fascination,4,Facebook
fast,16,Facebook
fat,11,Facebook
fates,4,Facebook
father,7,Facebook
fathers,7,Facebook
fattass,3,Facebook
fault,12,Facebook
faux,4,Facebook
fb,8,Facebook
fbi,16,Facebook
fearing,4,Facebook
fed,4,Facebook
federal,15,Facebook
