text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,original_text
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:32:46Z,FALSE,,889991847724158976,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RacerxJax,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:30:27Z,FALSE,,889991266834018304,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MykeMitch,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:27:41Z,FALSE,,889990568251731968,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",PeytonKoran,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:26:03Z,FALSE,,889990157507584000,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",leopalacios10,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:23:50Z,FALSE,,889989602068451328,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",TAKERU20070314,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
lidia gavinnewsom msevans senategop ryan picture ,FALSE,3,lidia09,2017-07-25T23:23:03Z,FALSE,889959153577414656,889989401912147970,22416760,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>",sricha6516,0,FALSE,FALSE,,,@lidia09 @GavinNewsom @msevans034 @SenateGOP Ryan picture should have been a ������
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:22:54Z,FALSE,,889989364595400704,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",beazus53,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt msmariat genereaux flippnseats debi jonigeographer jamesfourm lululemew darkwisdom jerrybrowngov gavinnewsom kam,FALSE,0,,2017-07-25T23:19:08Z,FALSE,,889988415810265089,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",14_flippn_seats,2,TRUE,FALSE,,,RT @MsMariaT: @genereaux64 @14_flippn_seats @Debi129 @jonigeographer @JamesFourM @lulu_lemew @dark_wisdom_ @JerryBrownGov @GavinNewsom @Kam…
rt gavinnewsom conservatives lol now want gut congressional budget office like math party fiscal r,FALSE,0,,2017-07-25T23:19:00Z,FALSE,,889988384369688577,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",kathrynhadley3,438,TRUE,FALSE,,,"RT @GavinNewsom: So ""conservatives"" (LOL) now want to gut the Congressional Budget Office because they don't like math.  Party of ""fiscal r…"
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:15:54Z,FALSE,,889987604841496576,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",mozamm,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:11:31Z,FALSE,,889986498862481411,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stacywhite33,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T23:06:45Z,FALSE,,889985301602484224,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BentleysQuest,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
gavinnewsom senategop pre existing condition support kind coverage,FALSE,0,GavinNewsom,2017-07-25T23:03:37Z,FALSE,889943916874579968,889984512284794881,11347122,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lindayeecbs5,0,FALSE,FALSE,,,@GavinNewsom @SenateGOP It's a pre existing condition. They won't support that kind of coverage
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:58:30Z,FALSE,,889983226650869760,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tnams06,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:54:51Z,FALSE,,889982306307391488,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tylersuxs,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:54:38Z,FALSE,,889982252607619072,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",dfj72,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:52:53Z,FALSE,,889981810301685761,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IanTanis,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
latimesemily herbjwesson lt gov gavinnewsom also discussed gov run creating state bank excited ,FALSE,0,LATimesemily,2017-07-25T22:49:42Z,TRUE,889943015288168449,889981009210384385,25458792,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",housingforla,0,FALSE,FALSE,,,@LATimesemily @HerbJWesson Lt. Gov. @GavinNewsom has also discussed in his Gov run creating a State bank. Excited a… https://t.co/OyD4rdD7qs
gavinnewsom official attorney general jeff sessions takes sanctuary cities get ready ice gavin,FALSE,1,GavinNewsom,2017-07-25T22:48:56Z,FALSE,,889980818277388288,11347122,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sakotheAmerican,0,FALSE,FALSE,,,@GavinNewsom It’s Official: Attorney General Jeff Sessions Takes On Sanctuary Cities...https://t.co/dFNtFV2xHg   Get ready for @ICE Gavin!
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:43:38Z,FALSE,,889979485042298884,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Idyguy1,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
gavinnewsom senategop ,FALSE,0,GavinNewsom,2017-07-25T22:43:03Z,FALSE,889943916874579968,889979338048786432,11347122,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",feddy60,0,FALSE,FALSE,,,@GavinNewsom @SenateGOP  https://t.co/mUAzM9OAUb
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:42:14Z,FALSE,,889979131634397188,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",rifke76,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:41:34Z,FALSE,,889978961383399424,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",TheTermaNaida,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
rt gavinnewsom will write healthcare bill covers new senategop spines,FALSE,0,,2017-07-25T22:39:04Z,FALSE,,889978334741905408,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bennyjet55,448,TRUE,FALSE,,,RT @GavinNewsom: Who will write the healthcare bill that covers new @SenateGOP spines?
